,route_id,headway_tier,max_route_headway,max_route_weekday_headway
3,4,15.0,10.0,10.0
2,3,60.0,120.0,120.0
4,5,60.0,120.0,120.0
6,7,60.0,60.0,60.0
7,8,60.0,60.0,60.0
8,9,60.0,40.0,40.0
9,10,60.0,60.0,60.0
11,12,60.0,30.0,30.0
13,14,60.0,120.0,120.0
14,15,60.0,120.0,120.0
15,16,60.0,30.0,30.0
0,1,121.0,121.0,121.0
1,2,121.0,121.0,121.0
5,6,121.0,121.0,121.0
10,11,121.0,121.0,121.0
12,13,121.0,121.0,121.0
