,route_id,max_route_headway,max_route_weekday_headway
6,7,7,5
19,L,8,5
4,6,9,5
16,GS,10,5
12,E,10,7
13,F,10,7
2,4,10,8
8,A,10,9
15,G,10,10
22,Q,10,10
23,R,10,10
0,2,12,8
1,3,12,8
10,C,12,10
11,D,12,10
21,N,12,10
3,5,13,8
18,J,13,10
20,M,13,10
14,FS,15,10
17,H,20,17
24,SI,30,30
9,B,121,12
5,6X,121,20
7,7X,121,121
25,Z,121,121
