,route_id,headway_tier,max_route_headway,max_route_weekday_headway
3,4,10,10.0,6.67
11,12,30,30.0,7.5
15,16,30,30.0,30.0
2,3,60,120.0,120.0
4,5,60,120.0,40.0
6,7,60,60.0,60.0
7,8,60,60.0,60.0
8,9,60,40.0,30.0
9,10,60,60.0,60.0
13,14,60,120.0,60.0
14,15,60,120.0,120.0
0,1,121,121.0,121.0
1,2,121,121.0,121.0
5,6,121,121.0,121.0
10,11,121,121.0,121.0
12,13,121,121.0,120.0
16,17,121,121.0,121.0
