,route_id,headway_tier,weekday_headway_tier,max_route_headway,max_route_weekday_headway
70,71,121,121,121.0,121.0
71,72,121,121,121.0,121.0
75,76,121,121,121.0,121.0
82,83,121,121,121.0,121.0
83,84,121,121,121.0,121.0
84,85,121,121,121.0,121.0
85,86,121,121,121.0,121.0
88,89,121,121,121.0,121.0
89,90,121,121,121.0,121.0
91,92,121,121,121.0,121.0
92,93,121,121,121.0,121.0
94,95,121,121,121.0,121.0
95,96,121,121,121.0,121.0
99,100,121,121,121.0,121.0
100,101,121,121,121.0,121.0
112,113,121,121,121.0,121.0
113,114,121,121,121.0,121.0
114,115,121,121,121.0,121.0
117,118,121,121,121.0,121.0
139,140,121,121,121.0,121.0
149,150,121,121,121.0,121.0
154,155,121,121,121.0,121.0
155,156,121,121,121.0,121.0
156,157,121,121,121.0,121.0
158,159,121,121,121.0,121.0
161,162,121,121,121.0,121.0
162,163,121,121,121.0,121.0
163,164,121,121,121.0,121.0
166,167,121,121,121.0,121.0
177,178,121,121,121.0,121.0
182,183,121,121,121.0,121.0
193,194,121,121,121.0,121.0
195,196,121,121,121.0,121.0
197,198,121,121,121.0,121.0
198,199,121,121,121.0,121.0
199,200,121,121,121.0,121.0
200,201,121,121,121.0,121.0
201,202,121,121,121.0,121.0
211,212,121,121,121.0,121.0
218,219,121,121,121.0,121.0
223,224,121,121,121.0,121.0
225,226,121,121,121.0,121.0
227,228,121,121,121.0,121.0
228,229,121,121,121.0,121.0
230,231,121,121,121.0,121.0
231,232,121,121,121.0,121.0
233,234,121,121,121.0,121.0
240,241,121,121,121.0,121.0
243,244,121,121,121.0,121.0
245,246,121,121,121.0,121.0
246,247,121,121,121.0,121.0
247,248,121,121,121.0,121.0
248,249,121,121,121.0,121.0
249,250,121,121,121.0,121.0
250,251,121,121,121.0,121.0
251,252,121,121,121.0,121.0
