,route_id,headway_tier,weekday_headway_tier,max_route_headway,max_route_weekday_headway
2,3,30,15,24.0,15.0
0,1,30,30,24.0,20.0
1,2,30,30,24.0,17.14
3,4,60,60,120.0,120.0
4,5,121,121,121.0,121.0
5,6,121,121,121.0,121.0
